medium,frequency_hz,amplitude_v,phase_deg,x_v,y_v,chunk_timestamp,medium,frequency_hz,phase_deg,chunk_timestamp
AIR,277538.7693846554,5.74982e-05,0.151529,5.68043e-05,8.65213e-06,650694397781,AIR,277538.7693846554,0.151529,650694397781
AIR,278589.2946472756,5.74346e-05,0.154284,5.67231e-05,8.82056e-06,650694397781,AIR,278589.2946472756,0.154284,650694397781
AIR,279639.8199098959,5.75251e-05,0.140535,5.69017e-05,8.05847e-06,650694397781,AIR,279639.8199098959,0.140535,650694397781
AIR,280690.3451725162,5.83509e-05,0.132501,5.77988e-05,7.68889e-06,650694397781,AIR,280690.3451725162,0.132501,650694397781
AIR,281740.8704351365,5.75138e-05,0.128964,5.7008e-05,7.37757e-06,650694397781,AIR,281740.8704351365,0.128964,650694397781
AIR,282791.3956977568,5.73583e-05,0.13971,5.67679e-05,7.99446e-06,650694397781,AIR,282791.3956977568,0.13971,650694397781
AIR,283841.9209603771,5.69632e-05,0.139618,5.63864e-05,7.93417e-06,650694397781,AIR,283841.9209603771,0.139618,650694397781
AIR,284892.4462229974,5.67449e-05,0.143134,5.613e-05,8.08771e-06,650694397781,AIR,284892.4462229974,0.143134,650694397781
AIR,285942.9714856176,5.74566e-05,0.143288,5.6845e-05,8.19071e-06,650694397781,AIR,285942.9714856176,0.143288,650694397781
AIR,286993.4967482379,5.75031e-05,0.159778,5.67382e-05,9.15677e-06,650694397781,AIR,286993.4967482379,0.159778,650694397781
AIR,288044.0220108582,5.78729e-05,0.148199,5.72141e-05,8.53804e-06,650694397781,AIR,288044.0220108582,0.148199,650694397781
AIR,289094.5472734785,5.78389e-05,0.137153,5.72434e-05,7.86021e-06,650694397781,AIR,289094.5472734785,0.137153,650694397781
AIR,290145.0725360988,5.74867e-05,0.161007,5.6708e-05,9.20711e-06,650694397781,AIR,290145.0725360988,0.161007,650694397781
AIR,291195.5977987191,5.75062e-05,0.134814,5.69564e-05,7.73551e-06,650694397781,AIR,291195.5977987191,0.134814,650694397781
AIR,292246.1230613394,5.74543e-05,0.1475,5.68001e-05,8.45237e-06,650694397781,AIR,292246.1230613394,0.1475,650694397781
AIR,293296.6483239596,5.76026e-05,0.139045,5.70117e-05,7.96605e-06,650694397781,AIR,293296.6483239596,0.139045,650694397781
AIR,294347.1735865799,5.78581e-05,0.145503,5.72296e-05,8.37218e-06,650694397781,AIR,294347.1735865799,0.145503,650694397781
AIR,295397.6988492002,5.75569e-05,0.134836,5.69915e-05,7.73358e-06,650694397781,AIR,295397.6988492002,0.134836,650694397781
AIR,296448.2241118205,5.74468e-05,0.148302,5.67855e-05,8.48204e-06,650694397781,AIR,296448.2241118205,0.148302,650694397781
AIR,297498.7493744408,5.72775e-05,0.141062,5.66841e-05,8.04992e-06,650694397781,AIR,297498.7493744408,0.141062,650694397781
AIR,298549.2746370611,5.78604e-05,0.14579,5.72237e-05,8.40652e-06,650694397781,AIR,298549.2746370611,0.14579,650694397781
AIR,299599.7998996814,5.68007e-05,0.15338,5.60897e-05,8.66569e-06,650694397781,AIR,299599.7998996814,0.15338,650694397781
AIR,300650.3251623016,5.72787e-05,0.142624,5.6658e-05,8.1296e-06,650694397781,AIR,300650.3251623016,0.142624,650694397781
AIR,301700.8504249219,5.83267e-05,0.15075,5.76494e-05,8.74571e-06,650694397781,AIR,301700.8504249219,0.15075,650694397781
AIR,302751.3756875422,5.82278e-05,0.129549,5.77181e-05,7.50123e-06,650694397781,AIR,302751.3756875422,0.129549,650694397781
AIR,303801.9009501624,5.7302e-05,0.139466,5.67239e-05,7.98579e-06,650694397781,AIR,303801.9009501624,0.139466,650694397781
AIR,304852.4262127827,5.71039e-05,0.142223,5.64911e-05,8.0514e-06,650694397781,AIR,304852.4262127827,0.142223,650694397781
AIR,305902.951475403,5.73867e-05,0.156458,5.66764e-05,8.9365e-06,650694397781,AIR,305902.951475403,0.156458,650694397781
AIR,306953.4767380233,5.66562e-05,0.131596,5.61556e-05,7.44531e-06,650694397781,AIR,306953.4767380233,0.131596,650694397781
AIR,308004.0020006436,5.69905e-05,0.137496,5.64337e-05,7.80716e-06,650694397781,AIR,308004.0020006436,0.137496,650694397781
AIR,309054.5272632639,5.84689e-05,0.140554,5.78746e-05,8.19297e-06,650694397781,AIR,309054.5272632639,0.140554,650694397781
AIR,310105.0525266302,5.82777e-05,0.148037,5.76087e-05,8.58819e-06,650694397781,AIR,310105.0525266302,0.148037,650694397781
AIR,311155.5777892505,5.85549e-05,0.141341,5.79546e-05,8.24326e-06,650694397781,AIR,311155.5777892505,0.141341,650694397781
